titolo,gruppo,testo
js contenuto non selezionabile,js, https://www.iprogrammatori.it/forum-programmazione/javascript-ajax/impedire-che-contenuto-una-pagina-sia-selezionabile-t34533.html
js sqlite,js, https://www.c-sharpcorner.com/article/how-to-connect-sqlite-with-node-js/ (controllare)
jexcel,js, https://github.com/paulhodel/jexcel (controllare)
js stimulus.js,js, https://stimulusjs.org/handbook/introduction
ruby pdfkit,ruby, https://github.com/pdfkit/pdfkit
ruby unqlite,ruby, https://github.com/danieltdt/unqlite-ruby
ruby redis,ruby, redis
c# redis,c#, redis
c# sha256,c#, https://www.c-sharpcorner.com/article/compute-sha256-hash-in-c-sharp/
cloudconvert api,vari, https://cloudconvert.com/api
dropbox vari,vari, https://github.com/dropbox/zxcvbn
